SP2 Parser Failure
    4	53107110 53075632
    17	53161230 53128646
    20	53159983
    22	53111677 53150887 53153248
    28	53193245
    139	53042469
    159	53111818f
    173	53021326f
    192	53121801f
    196	52972499f
    247	53134584f
    251	53018701f 53018861f 53018713f 53018844P
    263	53104777 53104649

Unidentified
    2	53097401 53157591 53165092 53116113 53118403 53123703 53157533 53176214 53096895 53165105 53097346 53192047 53192358 53147069 53157559 53157579
3	53081126 53176516 53081128 53176208
4	53083257 53140848 53169128 53142919 53192289
    6	53144221 53119983 53061844 53114124 53201484 53140005 53075587 53191707 53130908 53191128 53104759
7	53161437
8	53128870 53145590 53160731 53189241 53128802 53138202 53171742 53202734 53175505 53125876 53162996 53128837 53132747 53104478
9	53095521 53124822 53120503 53130483 53101169 53106279 53122289
10	53109622 53094553 53103056 53166676 53124738 53125858
11	53106120 53186873 53148125 53171225 53076086 53106118 53022179 53093019 53106119
12	53194260 53115797
14	53099100 53099065 53099135 53099156 53132548 53099079 53099149
    15	53177630 53178480 53178720 53178730 53178810 53177671 53177881 53178541 53178581 53178591 53178761 53199441 53108402 53108412 53177782 53177822 53177832 53177872 53178612 53178862 53063383 53178513 53178583 53178824 53196924 53117535 53177705 53177725 53178745 53178805 53073256 53177756 53178586 53178936 53177607 53178487 53178497 53178547 53178557 53178787 53178837 53178887 53177808
17	53164162 53147834 53170344 53198269
18	53111483 53166994
19	53202927
20	53112841 53151761 53159671 53160031 53094072 53111702 53092693 53125643 53094074 53108424 53136134 53136174 53201364 53062525 53159665 53163035 53197415 53079726 53091466 53092566 53093726 53136096 53092767 53111367 53111667 53126477 53093748 53111168 53116158 53159638 53094039 53133119
22	53107250 53143190 53155470 53159730 53200870 53062441 53079281 53081511 53123671 53165981 53168541 53187151 53108842 53138842 53155343 53197663 53201643 53202413 53123474 53179504 53193184 53079345 53115075 53165915 53107116 53165936 52969127 53063047 53072337 53079377 53165887 53083148 53144708 53163698 53166018 52969139 53163679 53190539
    23	53193840 53193880 53193900 53193940 53194020 53103171 53190321 53193921 53193931 53103162 53103172 53175392 53194002 53103173 53193833 53193913 53083924 53103174 53194034 53203074 53103165 53193855 53193895 53193945 53193995 53160886 53193846 53193976 53092787 53193867 53193877 53193908 53193849 53193989
    24	53173900 53176490 53196050 53176491 53173902 53173903 53176483 53138914 53176485 53176486 53119037 53173907 53113179 53157899 53186419
25	53080210 53082470 53062761 53130985 53197825 53174277 53130968 53098999 53130999 53174219
26	53137482 53093454 53119448
    28	53128660 53143170 53181701 53126382 53072053 53112783 53191073 53192573 53125584 53135214 53175944 53192555 53201275 53118096 53123976 53125606 53157287
29	53111140 53157476 53114327 53162137 53165518
30	53120885 53092848
31	53107172 53105797 53104438
32	53187570 53106911 53102383 53187563 53109565 53109905 53106897
35	53087220 53108410 53119700 53173680 53174330 53037871 53087971 53088751 53106351 53110451 53111021 53156881 53063992 53124952 53143342 53191652 53113783 53163723 53174353 53194143 53202543 53088214 53101244 53108274 53115424 53200494 53147665 53062626 53110706 53136726 53137606 53115777 53153667 53190097 53194787 53062328 53063758 53104598 53143638 53187718 53115419 53141729 53147509 53160789 53165379
41	53103100 53103115 53103076 53112996 53098699
42	53088981 53168421
    43	53143360 53123952 53079753 53117284 53123944 53130364 53085915 53084166 53201067
45	53126848
46	53103310 53144968
    51	53061590 53138500 53088582 53167457 53165418 53186809
57	53063371 53083456
72	53178316
75	53113637 53114978
90	53118121 53118092 53118073
140	53196960 53199263 53196478
151	53157901 53086825
156	53142320 53197871
157	53196623
194	53165833
196	53200100 53090325
225	53133501 53133512
244	53133472 53133474
247	53134582
    268	53108523 53202174 53180308 53126949

Unimplemented
    46	53139371 53121094

SP1 Possibly Timed Out
    6	53075515 53088545
    10	53158612 53134965 53159469
    11	53097228
    12	53099761
    15	53096663
    20	53119933 53104746 53121416 53020859
    28	53103597
    30	53143133
    31	53063496 53107998
    43	53174009
    44	53157192
    46	53119379
